Tanggal,penjualan,Permintaan,produksi,persediaan
1/1/2022,1,,,307
2/1/2022,5,,,306
3/1/2022,,,,301
4/1/2022,,,,301
5/1/2022,,30,,301
6/1/2022,,,,271
7/1/2022,7,,,271
8/1/2022,8,,,264
9/1/2022,7,,,256
10/1/2022,,,,249
11/1/2022,,40,,249
12/1/2022,,,,209
13/1/2022,,,,209
14/1/2022,,1,,209
15/1/2022,,,,208
16/1/2022,,,,208
17/1/2022,,,,208
18/1/2022,,,,208
19/1/2022,,,,208
20/1/2022,10,,,208
21/1/2022,,,40,198
22/1/2022,,,,238
23/1/2022,2,,3,238
24/1/2022,,,,239
25/1/2022,,,,239
26/1/2022,,,50,239
27/1/2022,,,,289
28/1/2022,,,,289
29/1/2022,,,,289
30/1/2022,,,1,289
31/1/2022,4,,,290
1/2/2022,,,,286
2/2/2022,,,,286
3/2/2022,,,,286
4/2/2022,2,,,286
5/2/2022,,,,284
6/2/2022,,,5,284
7/2/2022,,,,289
8/2/2022,,,,289
9/2/2022,,,,289
10/2/2022,,,,289
11/2/2022,,,,289
12/2/2022,30,,,289
13/2/2022,,,,259
14/2/2022,,,,259
15/2/2022,,,,259
16/2/2022,1,,,259
17/2/2022,,,,258
18/2/2022,,,,258
19/2/2022,,4,,258
20/2/2022,3,3,,254
21/2/2022,,,,248
22/2/2022,,,,248
23/2/2022,,,,248
24/2/2022,,,,248
25/2/2022,,,,248
26/2/2022,,,,248
27/2/2022,,,,248
28/2/2022,,,,248
1/3/2022,,,,248
2/3/2022,,,,248
3/3/2022,1,,,248
4/3/2022,,,,247
5/3/2022,,,,247
6/3/2022,,,,247
7/3/2022,,,,247
8/3/2022,,,,247
9/3/2022,,,,247
10/3/2022,,,,247
11/3/2022,,,,247
12/3/2022,2,,,247
13/3/2022,,,,245
14/3/2022,,,,245
15/3/2022,,,,245
16/3/2022,,,,245
17/3/2022,,,,245
18/3/2022,,,,245
19/3/2022,,,,245
20/3/2022,,,,245
21/3/2022,,,,245
22/3/2022,,,,245
23/3/2022,,,,245
24/3/2022,,,,245
25/3/2022,,,,245
26/3/2022,,,,245
27/3/2022,,,,245
28/3/2022,,,,245
29/3/2022,3,,,245
30/3/2022,,,,242
31/3/2022,,,,242
1/4/2022,,5,,242
2/4/2022,2,,,237
3/4/2022,,,,235
4/4/2022,,,,235
5/4/2022,,4,,235
6/4/2022,,,,231
7/4/2022,,,,231
8/4/2022,,,,231
9/4/2022,,,,231
