tanggal,penjualan,persediaan,produksi
7/9/2022,50,286,96
8/9/2022,20,327,61
9/9/2022,150,264,87
10/9/2022,0,311,47
11/9/2022,80,330,99
12/9/2022,61,297,28
13/9/2022,0,320,23
14/9/2022,112,216,8
15/9/2022,43,183,10
16/9/2022,43,157,17
17/9/2022,41,134,18
18/9/2022,40,94,0
19/9/2022,82,46,34
20/9/2022,40,33,27
21/9/2022,50,25,42
22/9/2022,20,5,0
23/9/2022,42,9,46
24/9/2022,30,43,64
25/9/2022,50,23,30
26/9/2022,0,84,61
27/9/2022,53,88,57
28/9/2022,0,118,30
29/9/2022,11,136,29
30/9/2022,0,136,0
1/10/2022,90,46,0
2/10/2022,43,3,0
3/10/2022,60,7,64
4/10/2022,51,11,55
5/10/2022,30,69,88
6/10/2022,123,43,97
7/10/2022,70,24,51
8/10/2022,51,5,32
9/10/2022,80,0,75
10/10/2022,50,12,62
11/10/2022,82,29,99
12/10/2022,100,32,103
13/10/2022,24,113,105
14/10/2022,22,124,33
15/10/2022,30,105,11
16/10/2022,70,95,60
17/10/2022,60,165,130
18/10/2022,150,138,123
19/10/2022,14,215,91
20/10/2022,30,272,87
21/10/2022,170,170,68
22/10/2022,0,320,150
23/10/2022,0,401,81
24/10/2022,0,401,0
25/10/2022,65,484,148
26/10/2022,61,519,96
27/10/2022,70,521,72
28/10/2022,15,542,36
29/10/2022,122,444,24
30/10/2022,30,414,0
31/10/2022,91,323,0
1/11/2022,0,323,0
2/11/2022,0,323,0
3/11/2022,0,323,0
4/11/2022,0,323,0
5/11/2022,0,323,0
6/11/2022,60,158,218
7/11/2022,0,219,61
8/11/2022,0,262,43
9/11/2022,182,152,72
10/11/2022,0,178,26
11/11/2022,22,235,79
12/11/2022,110,226,101
13/11/2022,0,226,0
14/11/2022,70,222,66
15/11/2022,12,262,52
16/11/2022,30,283,51
17/11/2022,91,219,0
18/11/2022,6,240,27
19/11/2022,100,140,0
20/11/2022,140,45,45
21/11/2022,0,72,27
22/11/2022,90,8,26
23/11/2022,50,18,64
24/11/2022,70,48,100
25/11/2022,71,111,134
26/11/2022,40,170,99
27/11/2022,0,205,35
28/11/2022,160,123,78
29/11/2022,40,149,66
30/11/2022,20,186,57
1/12/2022,150,146,110
2/12/2022,0,215,69
3/12/2022,20,296,101
4/12/2022,218,107,29
5/12/2022,0,135,28
6/12/2022,70,89,24
7/12/2022,83,6,0
8/12/2022,50,1,45
9/12/2022,31,38,68
10/12/2022,30,83,75
11/12/2022,100,32,49
12/12/2022,0,48,16
13/12/2022,70,23,45
14/12/2022,30,47,54
15/12/2022,61,41,55
16/12/2022,110,7,76
17/12/2022,43,56,92
18/12/2022,37,83,58
19/12/2022,80,61,58
20/12/2022,30,63,32
21/12/2022,100,18,55
22/12/2022,40,91,84
23/12/2022,20,131,49
24/12/2022,60,123,92
25/12/2022,60,190,127
26/12/2022,0,268,78
27/12/2022,10,216,28
28/12/2022,230,321,137
29/12/2022,64,227,75
30/12/2022,61,250,84
31/12/2022,60,190,0
