tanggal,penjualan,persediaan,produksi
7/9/2022,50,286,96
8/9/2022,20,327,61
9/9/2022,150,264,87
10/9/2022,0,311,47
11/9/2022,80,330,99
12/9/2022,61,297,28
13/9/2022,0,320,23
14/9/2022,112,216,8
15/9/2022,43,183,10
16/9/2022,43,157,17
17/9/2022,41,134,18
18/9/2022,40,94,0
19/9/2022,82,46,34
20/9/2022,40,33,27
21/9/2022,50,25,42
22/9/2022,20,5,0
23/9/2022,42,9,46
24/9/2022,30,43,64
25/9/2022,50,23,30
26/9/2022,0,84,61
27/9/2022,53,88,57
28/9/2022,0,118,30
29/9/2022,11,136,29
30/9/2022,0,136,0
1/10/2022,90,46,0
2/10/2022,43,3,0
3/10/2022,60,7,64
4/10/2022,51,11,55
5/10/2022,30,69,88
6/10/2022,123,43,97
7/10/2022,70,24,51
8/10/2022,51,5,32
9/10/2022,80,0,75
10/10/2022,50,12,62
11/10/2022,82,29,99
12/10/2022,100,32,103
13/10/2022,24,113,105
14/10/2022,22,124,33
15/10/2022,30,105,11
16/10/2022,70,95,60
17/10/2022,60,165,130
18/10/2022,150,138,123
19/10/2022,14,215,91
20/10/2022,30,272,87
21/10/2022,170,170,68
